crawled_url,device,error,original_url,url_norm,hostname,registered_domain,url_length,domain,tld,subdomain,num_subdomains,domain_length,num_dots,num_slashes,num_hyphens,num_underscores,num_digits,num_uppercase,num_lowercase,num_special_chars,has_query,has_fragment,path_length,path_depth,query_length,num_query_params,entropy_domain,entropy_subdomain,entropy_path,resolved_ips,num_resolved_ips,nameservers,mx_records,cname_chain,registrar,registrant_name,registrant_org,registrant_country,whois_creation_date,domain_age_days,https,http_error,favicon_present,favicon_md5,favicon_phash,favicon_path,favicon_error,is_ephemeral_host_flag,ephemeral_provider,parked_flag,parked_reason,lookalike_flag,lookalike_target,lookalike_edit_distance,lookalike_edit_distance_rel,semantic_score,semantic_summary,visual_ai_score,visual_ai_notes,rule_score,label,processed_at,evidence_png,evidence_pdf,har_file,page_text
http://onlinesbi.sbi,mobile,"a bytes-like object is required, not 'str'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://onlinesbi.sbi,desktop,"a bytes-like object is required, not 'str'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sbi.co.in,mobile,,http://sbi.co.in,http://sbi.co.in,sbi.co.in,sbi.co.in,16.0,sbi.co.in,co.in,,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,False,False,0.0,0.0,0.0,0.0,2.725480556997868,0.0,0.0,103.209.96.176,1.0,"pdns.satyam.net.in.,sdns.satyam.net.in.",sbi-co-in.mail.protection.outlook.com.,,Sify Digital Services Limited,,,IN,2002-10-30T19:05:33,8369.0,False,"HTTPConnectionPool(host='sbi.co.in', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001E986863C50>, 'Connection to sbi.co.in timed out. (connect timeout=7)'))",False,,,,"HTTPConnectionPool(host='sbi.co.in', port=80): Max retries exceeded with url: /favicon.ico (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001E988A11750>, 'Connection to sbi.co.in timed out. (connect timeout=8)'))",False,,True,short_text,False,,9999.0,1.0,,,,,10.0,Benign,2025-09-29T13:20:36.994335,,,,
http://sbi.co.in,desktop,,http://sbi.co.in,http://sbi.co.in,sbi.co.in,sbi.co.in,16.0,sbi.co.in,co.in,,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,False,False,0.0,0.0,0.0,0.0,2.725480556997868,0.0,0.0,103.209.96.176,1.0,"pdns.satyam.net.in.,sdns.satyam.net.in.",sbi-co-in.mail.protection.outlook.com.,,Sify Digital Services Limited,,,IN,2002-10-30T19:05:33,8369.0,False,"HTTPConnectionPool(host='sbi.co.in', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001E98674FF50>, 'Connection to sbi.co.in timed out. (connect timeout=7)'))",False,,,,"HTTPConnectionPool(host='sbi.co.in', port=80): Max retries exceeded with url: /favicon.ico (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001E986743210>, 'Connection to sbi.co.in timed out. (connect timeout=8)'))",False,,True,short_text,False,,9999.0,1.0,,,,,10.0,Benign,2025-09-29T13:21:22.817628,,,,
